Date,Open,High,Close,Change,Change_Value_Percentage,Change_Percentage,Volume
2004-03-11T00:00:00,94.15,94.65,94.65,0.5,0.5310674455655867,0.5310674455655867,819700
2004-03-12T00:00:00,94.65,95.85,95.6,0.95,1.0036978341257263,1.0036978341257263,5440500
2004-03-15T00:00:00,95.6,96.7,95.75,0.15,0.15690376569037656,0.15690376569037656,3584300
2004-03-16T00:00:00,95.75,97.25,96.45,0.7,0.7310704960835509,0.7310704960835509,6795800
2004-03-17T00:00:00,96.45,97,96.65,0.2,0.20736132711249353,0.20736132711249353,4080000
2004-03-18T00:00:00,96.65,96.95,95.85,-0.8,-0.8277289187791,-0.8277289187791,2248000
2004-03-19T00:00:00,95.85,96.35,95.7,-0.15,-0.15649452269170577,-0.15649452269170577,1031600
2004-03-22T00:00:00,95.7,97.45,96.4,0.7,0.7314524555903865,0.7314524555903865,7801000
2004-03-24T00:00:00,96.4,98.25,98.2,1.8,1.8672199170124482,1.8672199170124482,7855200
2004-03-25T00:00:00,98.2,102.75,102,3.8,3.8696537678207736,3.8696537678207736,15048900
2004-03-26T00:00:00,102,104.9,101.85,-0.15,-0.14705882352941177,-0.14705882352941177,12389100
2004-03-29T00:00:00,101.85,102.9,99.75,-2.1,-2.061855670103093,-2.061855670103093,5652200
2004-03-30T00:00:00,99.75,101.3,99.15,-0.6,-0.6015037593984962,-0.6015037593984962,4889700
2004-03-31T00:00:00,99.15,99.7,98.3,-0.85,-0.8572869389813415,-0.8572869389813415,2913500
2004-04-01T00:00:00,98.3,103.9,102.9,4.6,4.679552390640895,4.679552390640895,10680600
2004-04-02T00:00:00,102.9,103.9,101.5,-1.4,-1.3605442176870746,-1.3605442176870746,9879400
2004-04-05T00:00:00,101.5,103.5,102.7,1.2,1.1822660098522166,1.1822660098522166,8753800
2004-04-06T00:00:00,102.7,103.2,102,-0.7,-0.6815968841285296,-0.6815968841285296,3391900
2004-04-07T00:00:00,102,104.9,103.25,1.25,1.2254901960784315,1.2254901960784315,14226300
2004-04-08T00:00:00,103.25,105.6,104.05,0.8,0.774818401937046,0.774818401937046,8656300
2004-04-09T00:00:00,104.05,104.5,103.45,-0.6,-0.5766458433445458,-0.5766458433445458,5399600
2004-04-12T00:00:00,103.45,104.5,103.3,-0.15,-0.14499758337361043,-0.14499758337361043,4274600
2004-04-13T00:00:00,103.3,103.9,101.45,-1.85,-1.7909002904162634,-1.7909002904162634,5887600
2004-04-14T00:00:00,101.45,103.5,102.3,0.85,0.8378511582060127,0.8378511582060127,7015300
2004-04-15T00:00:00,102.3,106,104.1,1.8,1.7595307917888565,1.7595307917888565,16674100
2004-04-16T00:00:00,104.1,106.45,105.1,1,0.9606147934678195,0.9606147934678195,13366200
2004-04-19T00:00:00,105.1,108,106.05,0.95,0.9039010466222646,0.9039010466222646,13443400
2004-04-20T00:00:00,106.05,106.5,105.3,-0.75,-0.7072135785007072,-0.7072135785007072,6515000
2004-04-21T00:00:00,105.3,106.9,101.15,-4.15,-3.941120607787274,-3.941120607787274,10408200
2004-04-22T00:00:00,101.15,105,104.95,3.8,3.756796836381611,3.756796836381611,10383900
2004-04-23T00:00:00,104.95,106.25,99.75,-5.2,-4.954740352548833,-4.954740352548833,8469600
2004-04-26T00:00:00,99.75,100.45,99.9,0.15,0.15037593984962405,0.15037593984962405,1916800
2004-04-27T00:00:00,99.9,100.95,99.8,-0.1,-0.10010010010010012,-0.10010010010010012,1516000
2004-04-28T00:00:00,99.8,100.7,98.5,-1.3,-1.3026052104208419,-1.3026052104208419,3038800
2004-04-29T00:00:00,98.5,100.5,98.5,0,0,0,1169700
2004-04-30T00:00:00,98.5,99.5,99,0.5,0.5076142131979695,0.5076142131979695,1045500
2004-05-04T00:00:00,99,101,100.3,1.3,1.3131313131313131,1.3131313131313131,1816400
2004-05-05T00:00:00,100.3,102,100.65,0.35,0.34895314057826515,0.34895314057826515,2440700
2004-05-06T00:00:00,100.65,101.5,100.3,-0.35,-0.34773969200198707,-0.34773969200198707,1171100
2004-05-07T00:00:00,100.3,100.5,99.2,-1.1,-1.0967098703888336,-1.0967098703888336,911700
2004-05-10T00:00:00,99.2,99.65,98.65,-0.55,-0.5544354838709677,-0.5544354838709677,419600
2004-05-11T00:00:00,98.65,99.5,98.65,0,0,0,794500
2004-05-12T00:00:00,98.65,99.8,98,-0.65,-0.6588950836289914,-0.6588950836289914,1151700
2004-05-13T00:00:00,98,98.45,98.3,0.3,0.30612244897959184,0.30612244897959184,837200
2004-05-14T00:00:00,98.3,99.5,99.15,0.85,0.8646998982706001,0.8646998982706001,883700
2004-05-17T00:00:00,99.15,99.4,98.25,-0.9,-0.9077155824508321,-0.9077155824508321,400700
2004-05-18T00:00:00,98.25,99.25,98.9,0.65,0.6615776081424937,0.6615776081424937,881200
2004-05-19T00:00:00,98.9,101.25,100.05,1.15,1.1627906976744187,1.1627906976744187,3575400
2004-05-20T00:00:00,100.05,101.95,100.05,0,0,0,4748100
2004-05-21T00:00:00,100.05,101,100.2,0.15,0.14992503748125938,0.14992503748125938,2055400
2004-05-24T00:00:00,100.2,100.9,99.5,-0.7,-0.6986027944111776,-0.6986027944111776,686900
2004-05-25T00:00:00,99.5,99.75,99.15,-0.35,-0.3517587939698492,-0.3517587939698492,412400
2004-05-26T00:00:00,99.15,100.45,99.65,0.5,0.5042864346949066,0.5042864346949066,1135200
2004-05-27T00:00:00,99.65,99.55,99,-0.65,-0.6522829904666332,-0.6522829904666332,407500
2004-05-28T00:00:00,99,99.55,98.8,-0.2,-0.20202020202020202,-0.20202020202020202,676900
2004-05-31T00:00:00,98.8,98.85,98.25,-0.55,-0.5566801619433199,-0.5566801619433199,796000
2004-06-01T00:00:00,98.25,98,97.55,-0.7,-0.7124681933842238,-0.7124681933842238,309600
2004-06-02T00:00:00,97.55,100.2,98,0.45,0.4613018964633521,0.4613018964633521,5358400
2004-06-03T00:00:00,98,98.6,94.95,-3.05,-3.1122448979591835,-3.1122448979591835,2963600
2004-06-04T00:00:00,94.95,96.7,96.05,1.1,1.1585044760400212,1.1585044760400212,800200
2004-06-07T00:00:00,96.05,97.5,97.25,1.2,1.2493492972410203,1.2493492972410203,1821400
